,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1930,19,219,0,3,43,241,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,23.0,10.0,33,8,6,19,37,62,-25,30,0.91,2
1,1930,71,135,4,1,43,241,7.0,14.0,59,28,12,19,106,71,35,96,1.63,13.0,15.0,53,14,14,25,57,92,-35,56,1.06,0
2,1930,27,236,1,2,43,241,1.0,20.0,104,70,17,17,221,102,119,227,2.18,0.0,0.0,0,0,0,0,0,0,0,0,0,2
3,1930,167,169,1,3,43,241,37.0,4.0,15,4,3,8,19,31,-12,15,1,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,2
4,1930,8,72,1,0,43,241,4.0,16.0,77,42,14,21,131,84,47,140,1.82,7.0,14.0,59,28,12,19,106,71,35,96,1.63,0
5,1930,41,135,3,0,43,241,20.0,9.0,33,11,7,15,40,49,-9,40,1.21,13.0,15.0,53,14,14,25,57,92,-35,56,1.06,0
6,1930,24,236,0,4,43,241,68.0,3.0,6,0,1,5,1,20,-19,1,0.17,0.0,0.0,0,0,0,0,0,0,0,0,0,2
7,1930,166,219,0,3,43,241,22.0,8.0,27,7,10,10,30,38,-8,31,1.15,23.0,10.0,33,8,6,19,37,62,-25,30,0.91,2
8,1930,66,201,1,5,45,69,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2
9,1930,225,163,1,0,43,241,9.0,12.0,51,20,12,19,80,71,9,72,1.41,37.0,4.0,15,4,3,8,19,31,-12,15,1,0
10,1930,8,135,6,3,43,241,4.0,16.0,77,42,14,21,131,84,47,140,1.82,13.0,15.0,53,14,14,25,57,92,-35,56,1.06,0
11,1930,41,72,1,0,43,241,20.0,9.0,33,11,7,15,40,49,-9,40,1.21,7.0,14.0,59,28,12,19,106,71,35,96,1.63,0
12,1930,19,162,0,1,43,241,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,22.0,8.0,27,7,10,10,30,38,-8,31,1.15,2
13,1930,24,28,0,4,43,241,68.0,3.0,6,0,1,5,1,20,-19,1,0.17,1.0,20.0,104,70,17,17,221,102,119,227,2.18,2
14,1930,225,169,4,0,43,241,9.0,12.0,51,20,12,19,80,71,9,72,1.41,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,0
15,1930,8,42,3,1,43,241,4.0,16.0,77,42,14,21,131,84,47,140,1.82,20.0,9.0,33,11,7,15,40,49,-9,40,1.21,0
16,1930,116,201,0,5,45,122,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2
17,1930,8,219,6,1,43,241,4.0,16.0,77,42,14,21,131,84,47,140,1.82,23.0,10.0,33,8,6,19,37,62,-25,30,0.91,0
18,1930,225,236,6,1,43,241,9.0,12.0,51,20,12,19,80,71,9,72,1.41,0.0,0.0,0,0,0,0,0,0,0,0,0,0
19,1930,225,8,4,2,43,241,9.0,12.0,51,20,12,19,80,71,9,72,1.41,4.0,16.0,77,42,14,21,131,84,47,140,1.82,0
20,1930,27,72,3,2,45,28,1.0,20.0,104,70,17,17,221,102,119,227,2.18,7.0,14.0,59,28,12,19,106,71,35,96,1.63,0
21,1930,8,236,3,1,45,7,4.0,16.0,77,42,14,21,131,84,47,140,1.82,0.0,0.0,0,0,0,0,0,0,0,0,0,0
22,1930,116,71,3,0,45,122,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
23,1930,66,71,4,0,45,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
24,1930,27,236,4,1,45,28,1.0,20.0,104,70,17,17,221,102,119,227,2.18,0.0,0.0,0,0,0,0,0,0,0,0,0,0
25,1930,122,67,2,1,12,128,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
26,1930,66,115,2,3,12,128,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
27,1930,27,219,4,3,45,28,1.0,20.0,104,70,17,17,221,102,119,227,2.18,23.0,10.0,33,8,6,19,37,62,-25,30,0.91,0
28,1930,122,115,3,3,12,128,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
29,1930,55,78,6,3,45,59,25.0,4.0,16,8,2,6,27,24,3,26,1.63,2.0,18.0,106,66,20,20,224,121,103,218,2.06,0
30,1930,12,93,2,3,45,11,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,16.0,9.0,32,15,3,14,87,57,30,48,1.5,2
31,1930,19,55,2,3,45,19,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,0.0,0.0,0,0,0,0,0,0,0,0,0,2
32,1930,159,56,1,0,67,169,45.0,3.0,8,2,3,3,7,8,-1,9,1.13,25.0,4.0,16,8,2,6,27,24,3,26,1.63,0
33,1930,19,201,2,2,45,19,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,10.0,11.0,46,16,13,17,74,69,5,61,1.33,1
34,1930,70,201,4,4,67,73,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,1
35,1930,77,93,5,3,45,82,2.0,18.0,106,66,20,20,224,121,103,218,2.06,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0
36,1930,204,165,0,3,45,219,10.0,11.0,46,16,13,17,74,69,5,61,1.33,15.0,7.0,31,15,5,11,44,40,4,50,1.61,2
37,1930,30,169,5,3,11,32,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,0
38,1930,63,154,5,1,14,66,6.0,14.0,62,26,20,16,79,56,23,98,1.58,39.0,3.0,13,3,5,5,13,23,-10,14,1.08,0
39,1930,181,231,1,1,14,194,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,53.0,1.0,5,1,3,1,4,4,0,6,1.2,1
40,1930,93,55,1,1,45,99,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1
41,1930,169,115,6,0,45,180,15.0,7.0,31,15,5,11,44,40,4,50,1.61,0.0,0.0,0,0,0,0,0,0,0,0,0,0
42,1930,77,156,1,1,45,82,2.0,18.0,106,66,20,20,224,121,103,218,2.06,45.0,3.0,8,2,3,3,7,8,-1,9,1.13,1
43,1930,205,146,6,3,45,220,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,8.0,10.0,50,27,12,11,86,48,38,93,1.86,0
44,1930,12,201,4,1,45,11,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,10.0,11.0,46,16,13,17,74,69,5,61,1.33,0
45,1930,30,236,0,3,11,32,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,0.0,0.0,0,0,0,0,0,0,0,0,0,2
46,1930,232,64,0,4,14,249,53.0,1.0,5,1,3,1,4,4,0,6,1.2,6.0,14.0,62,26,20,16,79,56,23,98,1.58,2
47,1930,170,190,0,1,45,181,17.0,6.0,26,13,4,9,43,29,14,43,1.65,5.0,14.0,59,29,12,18,92,66,26,99,1.68,2
48,1930,71,19,2,2,45,74,7.0,14.0,59,28,12,19,106,71,35,96,1.63,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,1
49,1930,80,31,6,1,11,86,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,0
50,1931,101,72,5,0,45,108,3.0,18.0,83,45,21,17,128,77,51,156,1.88,7.0,14.0,59,28,12,19,106,71,35,96,1.63,0
51,1931,17,131,3,2,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
52,1931,17,131,0,0,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
53,1931,71,55,1,2,45,74,7.0,14.0,59,28,12,19,106,71,35,96,1.63,0.0,0.0,0,0,0,0,0,0,0,0,0,2
54,1931,157,177,0,0,14,166,39.0,3.0,13,3,5,5,13,23,-10,14,1.08,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,1
55,1931,101,12,2,1,51,108,3.0,18.0,83,45,21,17,128,77,51,156,1.88,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,0
56,1931,17,131,1,2,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
57,1931,89,213,2,1,45,29,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,0
58,1931,17,213,1,5,45,29,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,2
59,1931,89,213,0,2,45,29,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,2
60,1931,17,213,1,7,45,29,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,2
61,1931,89,17,9,0,45,29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
62,1931,89,17,7,0,45,29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
63,1931,71,78,1,0,45,74,7.0,14.0,59,28,12,19,106,71,35,96,1.63,2.0,18.0,106,66,20,20,224,121,103,218,2.06,0
64,1931,236,81,4,1,11,254,0.0,0.0,0,0,0,0,0,0,0,0,0,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,0
65,1931,93,55,3,3,51,57,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1
66,1931,181,64,2,0,14,194,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,6.0,14.0,62,26,20,16,79,56,23,98,1.58,0
